2026-07-10 09:26:31,296 | INFO | Trade approved: {'approved': True, 'signal': 'BUY', 'confidence': 90, 'entry': np.float64(4335.16), 'lot': np.float64(0.05), 'stop_loss': np.float64(4324.57), 'take_profit': np.float64(4356.33), 'risk_percent': 1}
2026-07-10 09:26:31,296 | INFO | ORDER OPENED {'ticket': 'JQE-000022', 'symbol': 'XAUUSD', 'direction': 'BUY', 'entry': np.float64(4335.21), 'lot': np.float64(0.05), 'stop_loss': np.float64(4324.57), 'take_profit': np.float64(4356.33), 'open_time': datetime.datetime(2026, 7, 10, 9, 26, 31, 296062), 'status': 'OPEN'}
2026-07-10 09:26:31,296 | INFO | Market regime detected: TREND_UP
2026-07-10 09:26:31,296 | INFO | Signal: BUY Confidence: 90
2026-07-10 09:26:31,296 | INFO | Trade approved: {'approved': True, 'signal': 'BUY', 'confidence': 90, 'entry': np.float64(4337.47), 'lot': np.float64(0.05), 'stop_loss': np.float64(4326.8), 'take_profit': np.float64(4358.82), 'risk_percent': 1}
2026-07-10 09:26:31,296 | INFO | ORDER OPENED {'ticket': 'JQE-000023', 'symbol': 'XAUUSD', 'direction': 'BUY', 'entry': np.float64(4337.52), 'lot': np.float64(0.05), 'stop_loss': np.float64(4326.8), 'take_profit': np.float64(4358.82), 'open_time': datetime.datetime(2026, 7, 10, 9, 26, 31, 296921), 'status': 'OPEN'}
2026-07-10 09:26:31,297 | INFO | Market regime detected: TREND_UP
2026-07-10 09:26:31,297 | INFO | Signal: BUY Confidence: 70
2026-07-10 09:26:31,297 | INFO | Trade approved: {'approved': True, 'signal': 'BUY', 'confidence': 70, 'entry': np.float64(4342.02), 'lot': np.float64(0.04), 'stop_loss': np.float64(4330.86), 'take_profit': np.float64(4364.35), 'risk_percent': 1}
2026-07-10 09:26:31,297 | INFO | ORDER OPENED {'ticket': 'JQE-000024', 'symbol': 'XAUUSD', 'direction': 'BUY', 'entry': np.float64(4342.07), 'lot': np.float64(0.04), 'stop_loss': np.float64(4330.86), 'take_profit': np.float64(4364.35), 'open_time': datetime.datetime(2026, 7, 10, 9, 26, 31, 297771), 'status': 'OPEN'}
2026-07-10 09:26:31,298 | INFO | Market regime detected: TREND_UP
2026-07-10 09:26:31,298 | INFO | Signal: BUY Confidence: 70
2026-07-10 09:26:31,298 | INFO | Trade approved: {'approved': True, 'signal': 'BUY', 'confidence': 70, 'entry': np.float64(4346.09), 'lot': np.float64(0.04), 'stop_loss': np.float64(4334.78), 'take_profit': np.float64(4368.7), 'risk_percent': 1}
